attack,snr_db,samples,successes,success_rate,mean_attack_power_total_l2_sq_successes,mean_attack_power_total_l2_sq_all,paper_power_convention
pga,0.0,128,128,1.0,25.596985323471017,25.596985323471017,total_l2_squared
pga,2.0,128,128,1.0,35.59542790893465,35.59542790893465,total_l2_squared
pga,4.0,128,128,1.0,48.89092519879341,48.89092519879341,total_l2_squared
pga,6.0,128,128,1.0,56.09410525113344,56.09410525113344,total_l2_squared
pga,8.0,128,128,1.0,62.12271012365818,62.12271012365818,total_l2_squared
pga,10.0,128,128,1.0,65.87362234294415,65.87362234294415,total_l2_squared
pga,12.0,128,128,1.0,69.1260342746973,69.1260342746973,total_l2_squared
pga,14.0,128,128,1.0,70.76013927161694,70.76013927161694,total_l2_squared
pga,16.0,128,128,1.0,72.05383895337582,72.05383895337582,total_l2_squared
pga,18.0,128,128,1.0,72.38284003734589,72.38284003734589,total_l2_squared
pga,20.0,128,128,1.0,73.32096450030804,73.32096450030804,total_l2_squared
