snr_db,samples,channel_repeats,mean_distortion,mean_mse,mean_nmse_db,repeat_std_nmse_db
0.0,20000,1,0.3784617483615875,0.0024357247166335583,-4.383185386657715,0.0
1.0,20000,1,0.3098468482494354,0.0020140509586781263,-5.253935813903809,0.0
2.0,20000,1,0.2539263665676117,0.0016623266274109483,-6.1227569580078125,0.0
3.0,20000,1,0.2102852761745453,0.0013874784344807267,-6.951949119567871,0.0
4.0,20000,1,0.17578798532485962,0.0011678830487653613,-7.744164943695068,0.0
5.0,20000,1,0.14928840100765228,0.000996293849311769,-8.471318244934082,0.0
6.0,20000,1,0.1283421814441681,0.0008598290733061731,-9.148837089538574,0.0
7.0,20000,1,0.11199676245450974,0.000753788510337472,-9.76317310333252,0.0
8.0,20000,1,0.09961728751659393,0.0006722935941070318,-10.297171592712402,0.0
9.0,20000,1,0.08987833559513092,0.000607795431278646,-10.765708923339844,0.0
10.0,20000,1,0.08234366774559021,0.0005575147224590182,-11.175756454467773,0.0
11.0,20000,1,0.07635121792554855,0.0005175985279493034,-11.522493362426758,0.0
12.0,20000,1,0.07176119834184647,0.0004872058052569628,-11.816019058227539,0.0
13.0,20000,1,0.06813649833202362,0.00046252645552158356,-12.061222076416016,0.0
14.0,20000,1,0.06529898196458817,0.0004435961600393057,-12.26591682434082,0.0
15.0,20000,1,0.06306556612253189,0.0004285234317649156,-12.433116912841797,0.0
16.0,20000,1,0.0613110177218914,0.0004163911798968911,-12.567117691040039,0.0
17.0,20000,1,0.05991124361753464,0.00040696788346394897,-12.679948806762695,0.0
18.0,20000,1,0.05877603590488434,0.00039906936581246555,-12.77134895324707,0.0
19.0,20000,1,0.057945795357227325,0.0003935533750336617,-12.841035842895508,0.0
20.0,20000,1,0.05724022909998894,0.0003885935584548861,-12.902506828308105,0.0
