arm,snr_db,accuracy_mean_across_seeds,accuracy_by_seed
CS0,noiseless,0.9444,2026:0.9432;2027:0.9456
CS0,0,0.9434166666666667,2026:0.9423;2027:0.94453333
CS0,2,0.9433666666666667,2026:0.94223333;2027:0.9445
CS0,4,0.9433833333333334,2026:0.94226667;2027:0.9445
CS0,6,0.9435333333333333,2026:0.94246667;2027:0.9446
CS0,8,0.9437166666666666,2026:0.94263333;2027:0.9448
CS0,10,0.9439833333333333,2026:0.94293333;2027:0.94503333
CS0,12,0.94405,2026:0.94296667;2027:0.94513333
CS0,14,0.9440833333333334,2026:0.94293333;2027:0.94523333
CS0,16,0.9440833333333333,2026:0.94296667;2027:0.9452
CS0,18,0.9441166666666667,2026:0.943;2027:0.94523333
CS0,20,0.9441999999999999,2026:0.94303333;2027:0.94536667
CSJ,noiseless,0.9333,2026:0.9335;2027:0.9331
CSJ,0,0.93315,2026:0.93336667;2027:0.93293333
CSJ,2,0.9330833333333333,2026:0.93333333;2027:0.93283333
CSJ,4,0.9330833333333333,2026:0.9334;2027:0.93276667
CSJ,6,0.9332333333333334,2026:0.93353333;2027:0.93293333
CSJ,8,0.9331833333333334,2026:0.93353333;2027:0.93283333
CSJ,10,0.9331333333333334,2026:0.93343333;2027:0.93283333
CSJ,12,0.93305,2026:0.9334;2027:0.9327
CSJ,14,0.9331499999999999,2026:0.93346667;2027:0.93283333
CSJ,16,0.9333,2026:0.93363333;2027:0.93296667
CSJ,18,0.9332666666666666,2026:0.9336;2027:0.93293333
CSJ,20,0.9332,2026:0.93353333;2027:0.93286667
