arm,budget_db_per_channel_use,pga_empirical_robust_accuracy_lower_mean,pga_empirical_robust_accuracy_upper_mean,pga_empirical_robust_accuracy_lower_by_seed,pga_empirical_robust_accuracy_upper_by_seed
CS0,-40,0.946,0.946,2026:0.94466667;2027:0.94733333,2026:0.94466667;2027:0.94733333
CS0,-39,0.9455,0.9455,2026:0.94466667;2027:0.94633333,2026:0.94466667;2027:0.94633333
CS0,-38,0.9455,0.9455,2026:0.94466667;2027:0.94633333,2026:0.94466667;2027:0.94633333
CS0,-37,0.9455,0.9455,2026:0.94466667;2027:0.94633333,2026:0.94466667;2027:0.94633333
CS0,-36,0.9448333333333332,0.9448333333333332,2026:0.94433333;2027:0.94533333,2026:0.94433333;2027:0.94533333
CS0,-35,0.9448333333333332,0.9448333333333332,2026:0.94433333;2027:0.94533333,2026:0.94433333;2027:0.94533333
CS0,-34,0.944,0.944,2026:0.94366667;2027:0.94433333,2026:0.94366667;2027:0.94433333
CS0,-33,0.9433333333333334,0.9433333333333334,2026:0.94333333;2027:0.94333333,2026:0.94333333;2027:0.94333333
CS0,-32,0.9433333333333334,0.9433333333333334,2026:0.94333333;2027:0.94333333,2026:0.94333333;2027:0.94333333
CS0,-31,0.9421666666666666,0.9421666666666666,2026:0.94233333;2027:0.942,2026:0.94233333;2027:0.942
CS0,-30,0.942,0.942,2026:0.94233333;2027:0.94166667,2026:0.94233333;2027:0.94166667
CS0,-29,0.9413333333333332,0.9413333333333332,2026:0.94166667;2027:0.941,2026:0.94166667;2027:0.941
CS0,-28,0.9395,0.9395,2026:0.93933333;2027:0.93966667,2026:0.93933333;2027:0.93966667
CS0,-27,0.9391666666666666,0.9391666666666666,2026:0.939;2027:0.93933333,2026:0.939;2027:0.93933333
CS0,-26,0.9386666666666666,0.9386666666666666,2026:0.93866667;2027:0.93866667,2026:0.93866667;2027:0.93866667
CS0,-25,0.9360000000000002,0.9360000000000002,2026:0.93533333;2027:0.93666667,2026:0.93533333;2027:0.93666667
CS0,-24,0.9343333333333335,0.9343333333333335,2026:0.93466667;2027:0.934,2026:0.93466667;2027:0.934
CS0,-23,0.9321666666666666,0.9321666666666666,2026:0.93166667;2027:0.93266667,2026:0.93166667;2027:0.93266667
CS0,-22,0.9285000000000001,0.9285000000000001,2026:0.92766667;2027:0.92933333,2026:0.92766667;2027:0.92933333
CS0,-21,0.9266666666666667,0.9266666666666667,2026:0.925;2027:0.92833333,2026:0.925;2027:0.92833333
CS0,-20,0.9259999999999999,0.9259999999999999,2026:0.92466667;2027:0.92733333,2026:0.92466667;2027:0.92733333
CS0,-19,0.9226666666666667,0.9226666666666667,2026:0.92166667;2027:0.92366667,2026:0.92166667;2027:0.92366667
CS0,-18,0.9208333333333333,0.9208333333333333,2026:0.921;2027:0.92066667,2026:0.921;2027:0.92066667
CS0,-17,0.9161666666666667,0.9161666666666667,2026:0.916;2027:0.91633333,2026:0.916;2027:0.91633333
CS0,-16,0.9143333333333334,0.9143333333333334,2026:0.91366667;2027:0.915,2026:0.91366667;2027:0.915
CS0,-15,0.9085000000000001,0.9085000000000001,2026:0.90733333;2027:0.90966667,2026:0.90733333;2027:0.90966667
CS0,-14,0.9013333333333333,0.9013333333333333,2026:0.89966667;2027:0.903,2026:0.89966667;2027:0.903
CS0,-13,0.8931666666666667,0.8931666666666667,2026:0.89233333;2027:0.894,2026:0.89233333;2027:0.894
CS0,-12,0.8856666666666666,0.8856666666666666,2026:0.884;2027:0.88733333,2026:0.884;2027:0.88733333
CS0,-11,0.8736666666666667,0.8736666666666667,2026:0.87;2027:0.87733333,2026:0.87;2027:0.87733333
CS0,-10,0.8613333333333333,0.8613333333333333,2026:0.85866667;2027:0.864,2026:0.85866667;2027:0.864
CS0,-9,0.8386666666666667,0.8386666666666667,2026:0.83933333;2027:0.838,2026:0.83933333;2027:0.838
