arm,epoch,learning_rate,train_cross_entropy,train_accuracy,validation_noiseless_cross_entropy,validation_noiseless_accuracy,validation_10db_cross_entropy,validation_10db_accuracy,train_validation_accuracy_gap,train_jacobian_penalty,jacobian_lambda
CS0,1,0.05,2.1641419986724855,0.17304444444444445,2.1092237670898437,0.1646,2.1108466857910155,0.1634,0.009644444444444455,0.0,0.0
CS0,2,0.04999691581204152,2.249911128913032,0.12064444444444444,2.3044093322753905,0.0972,2.3056368103027345,0.0974,0.023244444444444443,0.0,0.0
CS0,5,0.049950668210706796,2.3045859555138484,0.09893333333333333,2.3028184936523437,0.1036,2.303202734375,0.1038,-0.004866666666666672,0.0,0.0
CS0,10,0.049750591442913945,2.3045921320173477,0.10024444444444444,2.3050414123535155,0.0988,2.3050895751953124,0.0984,0.0018444444444444402,0.0,0.0
CS0,20,0.04889482536995826,2.304395865503947,0.09895555555555556,2.303666955566406,0.0988,2.3036682861328126,0.0988,0.00015555555555556155,0.0,0.0
CS0,30,0.047450689394015394,2.3044595045725504,0.1016,2.3042636901855467,0.0988,2.3042636962890626,0.0988,0.002799999999999997,0.0,0.0
CS0,31,0.0472751631047092,2.304356470913357,0.09733333333333333,2.3044961181640624,0.1038,2.304496160888672,0.1038,-0.006466666666666676,0.0,0.0
CS1,1,0.05,2.1880700045691595,0.1633777777777778,2.099194390869141,0.177,2.101901904296875,0.1772,-0.013822222222222208,0.0,0.0
CS1,2,0.04999691581204152,2.045153985426161,0.17277777777777778,2.039721252441406,0.187,2.0441400268554686,0.1864,-0.01362222222222223,0.0,0.0
CS1,5,0.049950668210706796,2.29527366349962,0.10133333333333333,1.9759849670410157,0.18,1.9792902160644532,0.1794,-0.07806666666666667,0.0,0.0
CS1,10,0.049750591442913945,2.217550438563029,0.13057777777777776,2.057777001953125,0.184,2.0601433044433595,0.1832,-0.05262222222222224,0.0,0.0
CS1,20,0.04889482536995826,2.051529023530748,0.17815555555555557,1.9305912658691406,0.2284,1.9327711975097657,0.2272,-0.049044444444444446,0.0,0.0
CS1,30,0.047450689394015394,1.9606849396387735,0.2157777777777778,1.9352584899902343,0.1884,1.9376239318847657,0.1876,0.0281777777777778,0.0,0.0
CS1,139,0.010947915553696733,0.13060201559331683,0.9559555555555556,0.2813867286682129,0.9118,0.2818665870666504,0.911,0.044955555555555526,0.0,0.0
CS1,169,0.0030923329989034094,0.015209115360242624,0.9950666666666667,0.31092509956359865,0.9292,0.3109197555541992,0.9298,0.0652666666666667,0.0,0.0
CSJ,1,0.05,2.1641419986724855,0.17304444444444445,2.1092237670898437,0.1646,2.1108466857910155,0.1634,0.009644444444444455,0.00024124922945759157,897.056543367287
CSJ,2,0.04999691581204152,2.0545861607021756,0.1731111111111111,1.994292156982422,0.2008,1.9929169616699218,0.1994,-0.02628888888888889,2.881046225819672e-05,897.056543367287
CSJ,5,0.049950668210706796,2.304585958268907,0.09893333333333333,2.3028184936523437,0.1036,2.3029396240234377,0.104,-0.005066666666666664,0.0,897.056543367287
CSJ,10,0.049750591442913945,2.304592128923204,0.10024444444444444,2.3050413757324217,0.0988,2.3050293090820313,0.101,-0.0007555555555555649,0.0,897.056543367287
CSJ,20,0.04889482536995826,2.3043958661821153,0.09895555555555556,2.303666943359375,0.0988,2.3036646606445315,0.0988,0.00015555555555556155,7.969376393369821e-15,897.056543367287
CSJ,30,0.047450689394015394,2.304459501859877,0.1016,2.3042636901855467,0.0988,2.30426376953125,0.0988,0.002799999999999997,0.0,897.056543367287
CSJ,32,0.04709414075221735,2.304372514300876,0.09891111111111112,2.3061299926757814,0.0972,2.3061301635742186,0.0972,0.0017111111111111216,1.062710177380614e-16,897.056543367287
