cell,objective,snr_db,training_seeds,channel_repeats_per_seed,primary_metric,primary_mean,primary_sd_across_seeds,primary_ci95_halfwidth_t_df2,secondary_metric,secondary_mean,secondary_sd_across_seeds,secondary_ci95_halfwidth_t_df2
R0,reconstruction,0.0,3,3,mean_psnr_db,13.263359705607096,0.3171530488105802,0.7878518489470541,mean_mse,0.04855373460385534,0.0034173403477603982,0.008489144031758655
R0,reconstruction,2.0,3,3,mean_psnr_db,14.442635960049099,0.330689001012601,0.8214770182765481,mean_mse,0.03704469030102094,0.0027120855013772673,0.006737193871463414
R0,reconstruction,4.0,3,3,mean_psnr_db,15.631228658888075,0.3231558360313528,0.8027635990577899,mean_mse,0.028225764632225037,0.002007241156397301,0.0049862634531845015
R0,reconstruction,6.0,3,3,mean_psnr_db,16.768308427598743,0.2939379431435089,0.7301823294772062,mean_mse,0.02179158313406838,0.0014030705343822715,0.0034854204267051247
R0,reconstruction,8.0,3,3,mean_psnr_db,17.792945226033527,0.26732471124045837,0.664071396475273,mean_mse,0.017314343609743647,0.0010146892076438737,0.002520627726414523
R0,reconstruction,10.0,3,3,mean_psnr_db,18.665870030721027,0.2598751992215058,0.6455657827348534,mean_mse,0.014290926771031486,0.0008433394260427925,0.0020949712720390416
R0,reconstruction,12.0,3,3,mean_psnr_db,19.37068600124783,0.2936669459917107,0.7295091352326473,mean_mse,0.012288485343257587,0.0008600000927159771,0.002136358662424806
R0,reconstruction,14.0,3,3,mean_psnr_db,19.90753067864312,0.35564724662752445,0.8834767374277144,mean_mse,0.010995061757663885,0.0009426690304846963,0.0023417196883264487
R0,reconstruction,16.0,3,3,mean_psnr_db,20.298688888549805,0.41963460996000973,1.0424301597574313,mean_mse,0.010164534983535608,0.00102126994065117,0.00253697517344891
R0,reconstruction,18.0,3,3,mean_psnr_db,20.574689017401802,0.47246362363272937,1.1736647048964244,mean_mse,0.00963142379704449,0.0010770945550127842,0.0026756512032285323
R0,reconstruction,20.0,3,3,mean_psnr_db,20.760596169365776,0.5153288225842058,1.280147762133481,mean_mse,0.009296916425228119,0.001122243858256043,0.0027878082900743774
R1,reconstruction,0.0,3,3,mean_psnr_db,18.587562561035156,0.19999444193310206,0.49681373534654255,mean_mse,0.015081872956620323,0.0008982738639900247,0.002231435981017586
R1,reconstruction,2.0,3,3,mean_psnr_db,20.57778951856825,0.13144067320773875,0.3265167331732359,mean_mse,0.009507398638460372,0.00029865156269020556,0.0007418916095520003
R1,reconstruction,4.0,3,3,mean_psnr_db,22.462987263997398,0.11477408296559448,0.28511462782643004,mean_mse,0.0061579604840113055,0.00010270512446564005,0.00025513367287513983
R1,reconstruction,6.0,3,3,mean_psnr_db,24.09434021843804,0.09110057920293262,0.22630638436033104,mean_mse,0.004252590549488862,5.595821466332887e-05,0.00013900791132741294
R1,reconstruction,8.0,3,3,mean_psnr_db,25.418433295355904,0.0327940139845623,0.0814648468587291,mean_mse,0.0031643648269689744,8.095213721456839e-06,2.0109625690152183e-05
R1,reconstruction,10.0,3,3,mean_psnr_db,26.433936860826282,0.041782122276279275,0.10379254562348188,mean_mse,0.00253364824069043,3.461481546194242e-05,8.598796847430035e-05
R1,reconstruction,12.0,3,3,mean_psnr_db,27.176096386379665,0.1103555770084718,0.27413845054874675,mean_mse,0.0021603557074235547,6.166134295768863e-05,0.0001531752673983841
R1,reconstruction,14.0,3,3,mean_psnr_db,27.699891408284504,0.16472826916063554,0.40920770561334485,mean_mse,0.001934753847308457,7.791772144201219e-05,0.00019355835024778401
R1,reconstruction,16.0,3,3,mean_psnr_db,28.05480596754286,0.2032797391161873,0.5049748659733527,mean_mse,0.0017976842225632735,8.69724978859267e-05,0.00021605166188358338
R1,reconstruction,18.0,3,3,mean_psnr_db,28.292029274834526,0.23281874484262455,0.5783538240660137,mean_mse,0.0017126259756171042,9.337687649085648e-05,0.00023196102029641842
R1,reconstruction,20.0,3,3,mean_psnr_db,28.44410514831543,0.25017187050274636,0.62146137793507,mean_mse,0.0016605817428272632,9.647122562615279e-05,0.00023964780967673097
C0,classification,0.0,3,3,mean_accuracy,0.43166666229565936,0.036556871470897444,0.09081230304447746,mean_cross_entropy,2.029830084906684,0.23496281552111284,0.5836799908951051
C0,classification,2.0,3,3,mean_accuracy,0.48010000255372787,0.032810520378390204,0.08150585101412201,mean_cross_entropy,1.6936503383848402,0.1667202484006886,0.414156056364585
C0,classification,4.0,3,3,mean_accuracy,0.5181222193770938,0.0307876301910873,0.07648071321311255,mean_cross_entropy,1.48782037364112,0.1330459767543239,0.3305045282521151
