cell,training_seed,repeat_index,channel_seed,status,started_at,finished_at,exit_code,output_dir,note
R0,2026,0,102026,completed,2026-08-13T08:58:35.286027+00:00,2026-08-13T08:59:52.505408+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2026_repeat0_noise102026,validated complete; paired sample/noise invariants validated
R0,2026,1,102027,completed,2026-08-13T08:59:52.612382+00:00,2026-08-13T09:01:12.649636+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2026_repeat1_noise102027,validated complete; paired sample/noise invariants validated
R0,2026,2,102028,completed,2026-08-13T09:01:12.766591+00:00,2026-08-13T09:02:30.420761+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2026_repeat2_noise102028,validated complete; paired sample/noise invariants validated
R1,2026,0,102026,completed,2026-08-13T09:02:30.546490+00:00,2026-08-13T09:03:53.440631+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2026_repeat0_noise102026,validated complete; paired sample/noise invariants validated
R1,2026,1,102027,completed,2026-08-13T09:03:53.555145+00:00,2026-08-13T09:05:21.773241+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2026_repeat1_noise102027,validated complete; paired sample/noise invariants validated
R1,2026,2,102028,completed,2026-08-13T09:05:21.914831+00:00,2026-08-13T09:06:49.323391+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2026_repeat2_noise102028,validated complete; paired sample/noise invariants validated
C0,2026,0,102026,completed,2026-08-13T09:06:49.439234+00:00,2026-08-13T09:07:03.318915+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c0_seed2026_repeat0_noise102026,validated complete; paired sample/noise invariants validated
C0,2026,1,102027,completed,2026-08-13T09:07:03.436217+00:00,2026-08-13T09:07:16.961528+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c0_seed2026_repeat1_noise102027,validated complete; paired sample/noise invariants validated
C0,2026,2,102028,completed,2026-08-13T09:07:17.097080+00:00,2026-08-13T09:07:31.047883+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c0_seed2026_repeat2_noise102028,validated complete; paired sample/noise invariants validated
C1,2026,0,102026,completed,2026-08-13T09:07:31.177154+00:00,2026-08-13T09:07:45.481025+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c1_seed2026_repeat0_noise102026,validated complete; paired sample/noise invariants validated
C1,2026,1,102027,completed,2026-08-13T09:07:45.608229+00:00,2026-08-13T09:07:59.099676+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c1_seed2026_repeat1_noise102027,validated complete; paired sample/noise invariants validated
C1,2026,2,102028,completed,2026-08-13T09:07:59.228024+00:00,2026-08-13T09:08:13.112437+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c1_seed2026_repeat2_noise102028,validated complete; paired sample/noise invariants validated
R0,2027,0,102026,completed,2026-08-13T09:08:13.244331+00:00,2026-08-13T09:09:20.837146+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2027_repeat0_noise102026,validated complete; paired sample/noise invariants validated
R0,2027,1,102027,completed,2026-08-13T09:09:20.943208+00:00,2026-08-13T09:10:28.482360+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2027_repeat1_noise102027,validated complete; paired sample/noise invariants validated
R0,2027,2,102028,completed,2026-08-13T09:10:28.615493+00:00,2026-08-13T09:11:35.967361+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r0_seed2027_repeat2_noise102028,validated complete; paired sample/noise invariants validated
R1,2027,0,102026,completed,2026-08-13T09:11:36.097595+00:00,2026-08-13T09:12:58.883371+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2027_repeat0_noise102026,validated complete; paired sample/noise invariants validated
R1,2027,1,102027,completed,2026-08-13T09:12:59.238080+00:00,2026-08-13T09:14:23.276451+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2027_repeat1_noise102027,validated complete; paired sample/noise invariants validated
R1,2027,2,102028,completed,2026-08-13T09:14:23.399732+00:00,2026-08-13T09:15:46.250395+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\r1_seed2027_repeat2_noise102028,validated complete; paired sample/noise invariants validated
C0,2027,0,102026,completed,2026-08-13T09:15:46.385078+00:00,2026-08-13T09:15:58.795900+00:00,0,E:\workspace\读论文\PaperLibrary\04_语义通信\papers\2026_Zhang_UnanticipatedRobustness\code\outputs\factorial\factorial_mechanism_v1\diagnostics\c0_seed2027_repeat0_noise102026,validated complete; paired sample/noise invariants validated
