comparison,objective,training_seed,repeat_index,class_label,stratum_match_index,off_cell,on_cell,off_dataset_index,on_dataset_index,off_ln_margin,on_ln_margin,absolute_ln_margin_distance,caliper_ln_margin,delta_ln_margin,delta_ln_gradient,delta_ln_linearized_distance,delta_ln_distance_from_margin_minus_gradient,identity_residual,complete_case_delta_ln_pga_attack_l2,delta_ln_semantic_spectral_norm
R1_minus_R0,reconstruction,2026,0,0,0,R0,R1,8812,2041,1.2080174434764985,1.2148786803486487,0.006861236872150123,0.16981785375234681,0.006861236872150123,-0.4403095355388329,0.44717069778961516,0.447170772410983,-7.462136786262619e-08,0.5008962489068038,-0.5737525821602752
R1_minus_R0,reconstruction,2026,0,0,1,R0,R1,4062,2587,0.7700548365851896,0.7397638540013354,0.03029098258385421,0.16981785375234681,-0.03029098258385421,0.13969594005374342,-0.16998697288946185,-0.16998692263759763,-5.02518642253591e-08,-0.3946921583158764,0.13752850358422286
R1_minus_R0,reconstruction,2026,0,0,2,R0,R1,7010,44,1.4229696626805552,1.3726615273436709,0.050308135336884385,0.16981785375234681,-0.050308135336884385,-0.2683962589339388,0.21808808521138612,0.21808812359705443,-3.8385668310603194e-08,0.24376441359074316,-0.33576316761745423
R1_minus_R0,reconstruction,2026,0,0,3,R0,R1,8903,6772,-2.5198579255205766,-2.688990004302235,0.16913207878165837,0.16981785375234681,-0.16913207878165837,-0.5941569508561177,0.4250248100166383,0.4250248720744594,-6.205782110413338e-08,1.3969840886514946e-07,-0.5956747793116458
R1_minus_R0,reconstruction,2026,0,2,0,R0,R1,67,5862,0.7646244162817836,0.7649935983191843,0.0003691820374007726,0.1921292795916792,0.0003691820374007726,0.3324849566793677,-0.3321157667159136,-0.33211577464196695,7.92605336918939e-09,-0.3813234631751388,0.20383131171594474
R1_minus_R0,reconstruction,2026,0,2,1,R0,R1,5442,5274,1.5121362336996154,1.5115802400359006,0.0005559936637147267,0.1921292795916792,-0.0005559936637147267,-0.3341710473856052,0.33361510116632953,0.3336150537218905,4.744443904414197e-08,0.23764747220598068,-0.030155963001770324
R1_minus_R0,reconstruction,2026,0,2,2,R0,R1,1251,5785,2.1936442280455744,2.1945301054393673,0.0008858773937929776,0.1921292795916792,0.0008858773937929776,-0.44256741551841516,0.4434532791892136,0.44345329291220814,-1.3722994518516884e-08,0.4997704959216754,-0.6171333214653697
R1_minus_R0,reconstruction,2026,0,2,3,R0,R1,1825,5442,1.5125996759445643,1.5106844065483986,0.0019152693961657086,0.1921292795916792,-0.0019152693961657086,0.2959110140186785,-0.29782630606185734,-0.2978262834148442,-2.2647013153687112e-08,-0.27089101497573626,0.43609677755785287
R1_minus_R0,reconstruction,2026,0,2,4,R0,R1,4157,3473,1.9223248219782827,1.9199519236496836,0.0023728983285991045,0.1921292795916792,-0.0023728983285991045,-0.006136163153701357,0.003763218092389775,0.0037632648251022527,-4.6732712477570715e-08,0.004706569578772518,0.07161861531977855
R1_minus_R0,reconstruction,2026,0,2,5,R0,R1,7190,9168,1.9010920310383879,1.8973337996494717,0.003758231388916178,0.1921292795916792,-0.003758231388916178,-1.999020454660382,1.9952622502699922,1.9952622232714659,2.699852630350108e-08,1.861898755457726,-2.0047112502924
