aggregation_level,cell,objective,training_seed,channel_repeats_averaged,sample_scope,attack_power_per_use_db,pga_empirical_robust_accuracy_lower_bound,pga_empirical_robust_accuracy_upper_bound,lower_bound_sd_across_training_seeds,upper_bound_sd_across_training_seeds
training_seed,R0,reconstruction,2026,3,all,-40.0,0.082,0.082,,
training_seed,R0,reconstruction,2026,3,all,-39.0,0.05833333333333333,0.05833333333333333,,
training_seed,R0,reconstruction,2026,3,all,-38.0,0.05833333333333333,0.05833333333333333,,
training_seed,R0,reconstruction,2026,3,all,-37.0,0.047999999999999994,0.047999999999999994,,
training_seed,R0,reconstruction,2026,3,all,-36.0,0.041,0.041,,
training_seed,R0,reconstruction,2026,3,all,-35.0,0.026333333333333334,0.026333333333333334,,
training_seed,R0,reconstruction,2026,3,all,-34.0,0.026333333333333334,0.026333333333333334,,
training_seed,R0,reconstruction,2026,3,all,-33.0,0.017,0.017,,
training_seed,R0,reconstruction,2026,3,all,-32.0,0.012666666666666666,0.012666666666666666,,
training_seed,R0,reconstruction,2026,3,all,-31.0,0.008333333333333333,0.008333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-30.0,0.006333333333333333,0.006333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-29.0,0.004333333333333334,0.004333333333333334,,
training_seed,R0,reconstruction,2026,3,all,-28.0,0.0023333333333333335,0.0023333333333333335,,
training_seed,R0,reconstruction,2026,3,all,-27.0,0.0013333333333333333,0.0013333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-26.0,0.0006666666666666666,0.0006666666666666666,,
training_seed,R0,reconstruction,2026,3,all,-25.0,0.0003333333333333333,0.0003333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-24.0,0.0003333333333333333,0.0003333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-23.0,0.0003333333333333333,0.0003333333333333333,,
training_seed,R0,reconstruction,2026,3,all,-22.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-21.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-20.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-19.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-18.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-17.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-16.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-15.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-14.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-13.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-12.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-11.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-10.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-9.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-8.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-7.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-6.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-5.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-4.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-3.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-2.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,-1.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,all,0.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-40.0,0.4964425274644253,0.4964425274644253,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-39.0,0.34769197586497946,0.34769197586497946,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-38.0,0.34769197586497946,0.34769197586497946,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-37.0,0.28049450821539285,0.28049450821539285,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-36.0,0.24794683956902064,0.24794683956902064,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-35.0,0.15131762114004188,0.15131762114004188,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-34.0,0.15131762114004188,0.15131762114004188,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-33.0,0.09921306979810085,0.09921306979810085,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-32.0,0.07191701303260296,0.07191701303260296,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-31.0,0.04714620879235761,0.04714620879235761,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-30.0,0.03722952369319076,0.03722952369319076,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-29.0,0.024900657077364777,0.024900657077364777,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-28.0,0.014929499813474105,0.014929499813474105,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-27.0,0.009971157263890676,0.009971157263890676,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-26.0,0.005012814714307252,0.005012814714307252,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-25.0,0.0025252525252525255,0.0025252525252525255,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-24.0,0.0025252525252525255,0.0025252525252525255,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-23.0,0.0025252525252525255,0.0025252525252525255,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-22.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-21.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-20.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-19.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-18.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-17.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-16.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-15.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-14.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-13.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-12.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-11.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-10.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-9.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-8.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-7.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-6.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-5.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-4.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-3.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-2.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,-1.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,pairwise_common_clean_correct,0.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-40.0,0.4689019009587054,0.4689019009587054,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-39.0,0.31887049251432076,0.31887049251432076,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-38.0,0.31887049251432076,0.31887049251432076,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-37.0,0.24930826640343398,0.24930826640343398,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-36.0,0.21119561478290783,0.21119561478290783,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-35.0,0.14111739279998803,0.14111739279998803,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-34.0,0.14111739279998803,0.14111739279998803,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-33.0,0.10321786990921462,0.10321786990921462,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-32.0,0.07542513572934895,0.07542513572934895,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-31.0,0.03752561283857555,0.03752561283857555,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-30.0,0.03269469496417942,0.03269469496417942,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-29.0,0.023922765139618014,0.023922765139618014,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-28.0,0.014634839443023587,0.014634839443023587,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-27.0,0.00973287865870986,0.00973287865870986,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-26.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-25.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-24.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-23.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-22.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-21.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-20.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-19.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-18.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-17.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-16.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-15.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-14.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-13.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-12.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-11.0,0.0,0.0,,
training_seed,R0,reconstruction,2026,3,four_cell_common_clean_correct,-10.0,0.0,0.0,,
