cell,objective,training_seed,channel_repeats_averaged,samples_per_repeat,pairwise_common_clean_correct_samples_per_repeat_mean,four_cell_common_clean_correct_samples_per_repeat_mean,clean_semantic_accuracy_repeat_mean,pga_success_rate_among_all_clean_correct_repeat_mean,pga_success_rate_pairwise_common_repeat_mean,pga_success_rate_four_cell_common_repeat_mean,semantic_failure_margin_geomean_repeat_mean,semantic_margin_gradient_l2_geomean_repeat_mean,semantic_linearized_distance_l2_geomean_repeat_mean,semantic_spectral_norm_geomean_repeat_mean,spectral_convergence_rate_repeat_mean,pga_power_per_use_geomean_successful_complete_case_repeat_mean,pearson_ln_linear_distance_vs_ln_pga_l2_fisher_z_repeat_mean,operational_grid_db,pga_operational_auc_normalized_all_lower_bound,pga_operational_retention_90_all_lower_bound_power_db,pga_operational_retention_90_all_lower_bound_status,pga_operational_retention_75_all_lower_bound_power_db,pga_operational_retention_75_all_lower_bound_status,pga_operational_auc_normalized_all_upper_bound,pga_operational_retention_90_all_upper_bound_power_db,pga_operational_retention_90_all_upper_bound_status,pga_operational_retention_75_all_upper_bound_power_db,pga_operational_retention_75_all_upper_bound_status,pga_operational_auc_normalized_pairwise_common_clean_correct_lower_bound,pga_operational_retention_90_pairwise_common_clean_correct_lower_bound_power_db,pga_operational_retention_90_pairwise_common_clean_correct_lower_bound_status,pga_operational_retention_75_pairwise_common_clean_correct_lower_bound_power_db,pga_operational_retention_75_pairwise_common_clean_correct_lower_bound_status,pga_operational_auc_normalized_pairwise_common_clean_correct_upper_bound,pga_operational_retention_90_pairwise_common_clean_correct_upper_bound_power_db,pga_operational_retention_90_pairwise_common_clean_correct_upper_bound_status,pga_operational_retention_75_pairwise_common_clean_correct_upper_bound_power_db,pga_operational_retention_75_pairwise_common_clean_correct_upper_bound_status,pga_operational_auc_normalized_four_cell_common_clean_correct_lower_bound,pga_operational_retention_90_four_cell_common_clean_correct_lower_bound_power_db,pga_operational_retention_90_four_cell_common_clean_correct_lower_bound_status,pga_operational_retention_75_four_cell_common_clean_correct_lower_bound_power_db,pga_operational_retention_75_four_cell_common_clean_correct_lower_bound_status,pga_operational_auc_normalized_four_cell_common_clean_correct_upper_bound,pga_operational_retention_90_four_cell_common_clean_correct_upper_bound_power_db,pga_operational_retention_90_four_cell_common_clean_correct_upper_bound_status,pga_operational_retention_75_four_cell_common_clean_correct_upper_bound_power_db,pga_operational_retention_75_four_cell_common_clean_correct_upper_bound_status
R0,reconstruction,2026,3,1000,134.33333333333334,71,0.17366666666666666,1,1,1,1.8707284108162212,11.762162732970108,0.1590712324546018,9.443045467537988,0.9996666666666667,7.531678636271666e-05,0.9194158745178601,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.008833333333333332,,censored_below_grid,,censored_below_grid,0.008833333333333332,,censored_below_grid,,censored_below_grid,0.052314437682192884,,censored_below_grid,,censored_below_grid,0.052314437682192884,,censored_below_grid,,censored_below_grid,0.04780210997442455,,censored_below_grid,,censored_below_grid,0.04780210997442455,,censored_below_grid,,censored_below_grid
R0,reconstruction,2027,3,1000,153.66666666666666,88.66666666666667,0.19133333333333333,1,1,1,2.058700489779662,12.603520215370418,0.1633362437359207,10.48706910475081,0.9996666666666667,7.532911196318106e-05,0.897017410610879,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.008975,,censored_below_grid,,censored_below_grid,0.008975,,censored_below_grid,,censored_below_grid,0.05018071984632494,,censored_below_grid,,censored_below_grid,0.05018071984632494,,censored_below_grid,,censored_below_grid,0.05288146005072923,,censored_below_grid,,censored_below_grid,0.05288146005072923,,censored_below_grid,,censored_below_grid
R0,reconstruction,2028,3,1000,176.33333333333334,101.66666666666667,0.222,1,1,1,1.9970234142697523,15.0365572090912,0.13269144636891622,12.498616904139636,0.9993333333333333,5.806906252361825e-05,0.888380587096862,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.007983333333333334,,censored_below_grid,,censored_below_grid,0.007983333333333334,,censored_below_grid,,censored_below_grid,0.038854455469624,,censored_below_grid,,censored_below_grid,0.038854455469624,,censored_below_grid,,censored_below_grid,0.045026476209540964,,censored_below_grid,,censored_below_grid,0.045026476209540964,,censored_below_grid,,censored_below_grid
R1,reconstruction,2026,3,1000,134.33333333333334,71,0.74,1,1,1,4.926870256163455,5.911570358504938,0.8338283754005562,5.7244981375001185,1,0.0004909608341296893,0.9565392300748214,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.14263333333333333,,censored_below_grid,-36.79651162790697,observed,0.14263333333333333,,censored_below_grid,-36.79651162790697,observed,0.20785884088735704,,censored_below_grid,-36.61128162145061,observed,0.20785884088735704,,censored_below_grid,-36.61128162145061,observed,0.2511536994660564,,censored_below_grid,-35.808424203549286,observed,0.2511536994660564,,censored_below_grid,-35.808424203549286,observed
R1,reconstruction,2027,3,1000,153.66666666666666,88.66666666666667,0.695,1,1,1,4.5297845070146545,6.164046233925608,0.735095932434769,5.880588923729519,1,0.0004417379415951025,0.961291113179534,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.12835000000000002,,censored_below_grid,-39.042582417582416,observed,0.12835000000000002,,censored_below_grid,-39.042582417582416,observed,0.21736047922353655,,censored_below_grid,-36.53621258244546,observed,0.21736047922353655,,censored_below_grid,-36.53621258244546,observed,0.26305316361138337,-39.69734975369458,observed,-33.77509882058039,observed,0.26305316361138337,-39.69734975369458,observed,-33.77509882058039,observed
R1,reconstruction,2028,3,1000,176.33333333333334,101.66666666666667,0.737,1,1,1,4.789314910014159,6.0860414800324145,0.7874299650918091,5.8440405030654246,0.9993333333333333,0.00046794014637496583,0.9586673740858648,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.1395458333333333,,censored_below_grid,-36.955714285714286,observed,0.1395458333333333,,censored_below_grid,-36.955714285714286,observed,0.22086077569434312,,censored_below_grid,-36.33365052888378,observed,0.22086077569434312,,censored_below_grid,-36.33365052888378,observed,0.26416012109311077,-39.44120542935509,observed,-33.597323209785806,observed,0.26416012109311077,-39.44120542935509,observed,-33.597323209785806,observed
C0,classification,2026,3,1000,445.6666666666667,71,0.5676666666666667,1,1,1,1.3374855109375696,3.2174627934009146,0.41568943770020805,3.9488143546500045,0.9966666666666667,0.0003394244090379284,0.9628608325405484,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.09406250000000001,,censored_below_grid,-39.55573248407643,observed,0.09406250000000001,,censored_below_grid,-39.55573248407643,observed,0.18833557880014187,,censored_below_grid,-36.84147143245114,observed,0.18833557880014187,,censored_below_grid,-36.84147143245114,observed,0.19101367949925968,,censored_below_grid,-36.571130448478165,observed,0.19101367949925968,,censored_below_grid,-36.571130448478165,observed
C0,classification,2027,3,1000,499,88.66666666666667,0.5836666666666667,1,1,1,1.575926500633315,2.870496192549153,0.5490149372174952,3.368470602701517,0.9976666666666667,0.000540401886975719,0.9706561199564689,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.11992083333333334,,censored_below_grid,-36.78333333333333,observed,0.11992083333333334,,censored_below_grid,-36.78333333333333,observed,0.2214241973137173,,censored_below_grid,-36.068493817696364,observed,0.2214241973137173,,censored_below_grid,-36.068493817696364,observed,0.224655866288119,-39.842929399367755,observed,-34.77021293495456,observed,0.224655866288119,-39.842929399367755,observed,-34.77021293495456,observed
C0,classification,2028,3,1000,491.3333333333333,101.66666666666667,0.5873333333333333,1,1,1,1.400432791733224,2.5953028981038426,0.539586821572291,3.2847692294016917,0.9973333333333333,0.0005328525909739636,0.9629759908941836,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.12121249999999999,,censored_below_grid,-36.6875,observed,0.12121249999999999,,censored_below_grid,-36.6875,observed,0.2260458818333148,,censored_below_grid,-34.90527951640011,observed,0.2260458818333148,,censored_below_grid,-34.90527951640011,observed,0.2357816558712365,-39.92262774166849,observed,-33.99143097090565,observed,0.2357816558712365,-39.92262774166849,observed,-33.99143097090565,observed
C1,classification,2026,3,1000,445.6666666666667,71,0.5806666666666667,1,1,1,1.21826070635467,1.839502355111086,0.6622999987200456,2.335437453694425,0.997,0.0007798885656003588,0.9658056982605405,"[-40, 0] inclusive, 1 dB step; trapezoidal approximation",0.1408375,,censored_below_grid,-36.04782608695652,observed,0.1408375,,censored_below_grid,-36.04782608695652,observed,0.27431064479698,-39.55714463842529,observed,-33.4710639925679,observed,0.27431064479698,-39.55714463842529,observed,-33.4710639925679,observed,0.25056773567550594,-39.97333250911788,observed,-34.30331091115576,observed,0.25056773567550594,-39.97333250911788,observed,-34.30331091115576,observed
