cell,seed,total_test_samples,eligible_samples,success_rate,initial_failure_rate_steps0,mean_attack_power_total_l2_sq,median_attack_power_total_l2_sq,q25_attack_power_total_l2_sq,q75_attack_power_total_l2_sq,mean_attack_power_per_channel_use,mean_clean_margin_to_failure,pearson_clean_margin_vs_attack_power,mean_steps,max_steps_observed
R0,2026,128,128,1.0,0.0078125,5.348160656052642,4.581964731216431,2.8112747073173523,6.872570991516113,0.006963750854235211,0.016874059372743562,0.6986702494056984,22.2421875,52
R0,2027,128,128,1.0,0.0078125,7.39926335727796,7.089660406112671,4.757596135139465,9.453749895095825,0.009634457496455676,0.018257488278426666,0.7929278894852707,26.703125,51
R0,2028,128,128,1.0,0.0078125,5.261090275831521,4.76940393447876,3.534504234790802,6.72601580619812,0.006850377963322292,0.017012862026707938,0.8167472029821714,22.46875,36
R1,2026,128,128,1.0,0.0,88.02079024910927,83.5626449584961,68.88406753540039,104.14871025085449,0.11461040397019435,0.02903510644147367,0.6101446036061928,102.65625,168
R1,2027,128,128,1.0,0.0,103.77826988697052,96.87575912475586,69.36501884460449,128.96047973632812,0.13512795558199286,0.028975760024071987,0.5228200092152725,117.9140625,207
R1,2028,128,128,1.0,0.0,101.71269755065441,95.7448844909668,75.14544105529785,123.54630470275879,0.13243840826908126,0.029044984362020968,0.6349318959090527,114.421875,179
C0,2026,128,72,1.0,0.0,0.6180485349096771,0.48619213700294495,0.13693477772176266,0.9503227174282074,0.0008047506964969755,1.9774072749747171,0.8743985549478895,6.930555555555555,18
C0,2027,128,83,1.0,0.0,1.0178684957258135,0.4840666353702545,0.09000001847743988,1.187032699584961,0.001325349603809653,2.1356922818953734,0.8520103589073393,8.19277108433735,32
C0,2028,128,79,1.0,0.0,0.9257856766233528,0.636766254901886,0.15994983911514282,1.5049444437026978,0.0012054500997699905,2.0050815845592114,0.8657846001548427,8.265822784810126,23
C1,2026,128,79,1.0,0.0,1.4134502572985956,0.6400004625320435,0.1600000411272049,1.6899999976158142,0.001840430022524213,1.6751403231409532,0.8881828196251124,9.632911392405063,32
C1,2027,128,82,1.0,0.0,1.5539917069623566,0.8038251996040344,0.24999993667006493,1.6184750199317932,0.0020234267017739016,2.41106493007846,0.8834793753844912,10.402439024390244,33
C1,2028,128,82,1.0,0.0,1.694435882881829,1.2019076347351074,0.35999999195337296,2.3699145317077637,0.0022062967225023812,2.22999790965057,0.8681839281675805,11.390243902439025,32
